1.702281;-0.455746;0.689477;0.841008;1.889861;
1.656704;-0.106602;1.212609;0.346181;1.234406;
0.759802;1.730034;0.290326;-0.027590;0.076215;
-0.319888;0.793474;1.947927;0.470438;1.265885;
0.511372;1.647506;0.238090;0.459299;0.117944;
0.312610;1.392554;-0.000056;1.050700;-0.148147;
-0.062081;0.955304;-0.250592;0.437863;0.006004;
0.075202;1.649620;1.474558;0.324610;0.087483;
1.612927;0.581440;0.709379;1.087485;1.406050;
0.255486;1.718153;0.739934;1.464865;0.805638;
0.038436;1.807989;0.800970;1.278370;1.272854;
-0.090775;0.777413;0.220002;1.210195;0.055783;
1.695462;0.854079;1.070837;-0.084536;0.064274;
0.675128;0.507367;0.195592;-0.254035;0.922831;
-0.438758;1.321999;0.148960;0.256834;1.567964;
1.717028;0.488098;-0.147356;-0.134012;1.244933;
-0.264706;-0.139034;1.317691;0.087938;0.226953;
0.532010;-0.352387;0.044419;-0.150299;0.235551;
1.231936;1.515422;-0.040540;1.776355;1.865123;
0.211805;1.830865;0.540564;0.671265;1.607220;
1.684948;-0.128595;1.330384;0.225512;1.042669;
0.566848;0.146467;-0.256863;-0.102768;0.871980;
0.926490;1.657254;1.649697;1.169627;-0.445513;
-0.387672;1.840516;0.870006;1.762025;1.010143;
1.702774;-0.396779;1.292579;0.572780;1.865246;
